id,dice,iou
BraTS20_Training_194_axial_045,0.039356,0.020080
BraTS20_Training_194_axial_046,0.045320,0.023193
BraTS20_Training_194_axial_047,0.049248,0.025253
BraTS20_Training_194_axial_048,0.053073,0.027267
BraTS20_Training_194_axial_049,0.056940,0.029312
BraTS20_Training_194_axial_050,0.061280,0.031616
BraTS20_Training_194_axial_051,0.065115,0.033660
BraTS20_Training_194_axial_052,0.067511,0.034942
BraTS20_Training_194_axial_053,0.069731,0.036132
BraTS20_Training_194_axial_054,0.071747,0.037216
BraTS20_Training_194_axial_055,0.074042,0.038452
BraTS20_Training_194_axial_056,0.077517,0.040328
BraTS20_Training_194_axial_057,0.081007,0.042220
BraTS20_Training_194_axial_058,0.084260,0.043990
BraTS20_Training_194_axial_059,0.087252,0.045623
BraTS20_Training_194_axial_060,0.089259,0.046722
BraTS20_Training_194_axial_061,0.091096,0.047729
BraTS20_Training_194_axial_062,0.092984,0.048766
BraTS20_Training_194_axial_063,0.093400,0.048995
BraTS20_Training_194_axial_064,0.093151,0.048858
BraTS20_Training_194_axial_065,0.093012,0.048782
BraTS20_Training_194_axial_066,0.092429,0.048461
BraTS20_Training_194_axial_067,0.091402,0.047897
BraTS20_Training_194_axial_068,0.090790,0.047561
BraTS20_Training_194_axial_069,0.090512,0.047408
BraTS20_Training_194_axial_070,0.088841,0.046493
BraTS20_Training_194_axial_071,0.087419,0.045715
BraTS20_Training_194_axial_072,0.086330,0.045120
BraTS20_Training_194_axial_073,0.084148,0.043929
BraTS20_Training_194_axial_074,0.082074,0.042800
BraTS20_Training_194_axial_075,0.079460,0.041381
BraTS20_Training_194_axial_076,0.077347,0.040237
BraTS20_Training_194_axial_077,0.074155,0.038513
BraTS20_Training_194_axial_078,0.072286,0.037506
BraTS20_Training_194_axial_079,0.068963,0.035720
BraTS20_Training_194_axial_080,0.065886,0.034072
BraTS20_Training_194_axial_081,0.063170,0.032623
BraTS20_Training_194_axial_082,0.060677,0.031295
BraTS20_Training_194_axial_083,0.057142,0.029418
BraTS20_Training_194_axial_084,0.053101,0.027282
BraTS20_Training_194_axial_085,0.047940,0.024566
BraTS20_Training_194_axial_086,0.042343,0.021637
BraTS20_Training_194_axial_087,0.037653,0.019195
BraTS20_Training_194_axial_088,0.031937,0.016235
BraTS20_Training_194_axial_089,0.027138,0.013763
BraTS20_Training_194_axial_090,0.021779,0.011017
BraTS20_Training_194_axial_091,0.015999,0.008072
BraTS20_Training_194_axial_092,0.010337,0.005203
BraTS20_Training_194_axial_093,0.005888,0.002960
BraTS20_Training_194_axial_094,0.003397,0.001709
BraTS20_Training_194_axial_095,0.001784,0.000900
BraTS20_Training_194_axial_096,0.000168,0.000092
BraTS20_Training_194_axial_097,0.000076,0.000046
BraTS20_Training_283_axial_080,0.000564,0.000290
BraTS20_Training_283_axial_081,0.002362,0.001190
BraTS20_Training_283_axial_082,0.004916,0.002472
BraTS20_Training_283_axial_083,0.008887,0.004471
BraTS20_Training_283_axial_084,0.011816,0.005951
BraTS20_Training_283_axial_085,0.014406,0.007263
BraTS20_Training_283_axial_086,0.016810,0.008484
BraTS20_Training_283_axial_087,0.017949,0.009064
BraTS20_Training_283_axial_088,0.018309,0.009247
BraTS20_Training_283_axial_089,0.018998,0.009598
BraTS20_Training_283_axial_090,0.019028,0.009613
BraTS20_Training_283_axial_091,0.019926,0.010071
BraTS20_Training_283_axial_092,0.021390,0.010818
BraTS20_Training_283_axial_093,0.022286,0.011276
BraTS20_Training_283_axial_094,0.023061,0.011673
BraTS20_Training_283_axial_095,0.023956,0.012131
BraTS20_Training_283_axial_096,0.025593,0.012970
BraTS20_Training_283_axial_097,0.027049,0.013717
BraTS20_Training_283_axial_098,0.029837,0.015152
BraTS20_Training_283_axial_099,0.031878,0.016205
BraTS20_Training_283_axial_100,0.033944,0.017273
BraTS20_Training_283_axial_101,0.035447,0.018051
BraTS20_Training_283_axial_102,0.036918,0.018814
BraTS20_Training_283_axial_103,0.038769,0.019775
BraTS20_Training_283_axial_104,0.040118,0.020477
BraTS20_Training_283_axial_105,0.040674,0.020767
BraTS20_Training_283_axial_106,0.041289,0.021087
BraTS20_Training_283_axial_107,0.042343,0.021637
BraTS20_Training_283_axial_108,0.043190,0.022079
BraTS20_Training_283_axial_109,0.043190,0.022079
BraTS20_Training_283_axial_110,0.044358,0.022689
BraTS20_Training_283_axial_111,0.046194,0.023651
BraTS20_Training_283_axial_112,0.047940,0.024566
BraTS20_Training_283_axial_113,0.050437,0.025879
BraTS20_Training_283_axial_114,0.049364,0.025314
BraTS20_Training_283_axial_115,0.047969,0.024582
BraTS20_Training_283_axial_116,0.046689,0.023910
BraTS20_Training_283_axial_117,0.045991,0.023544
BraTS20_Training_283_axial_118,0.044591,0.022812
BraTS20_Training_283_axial_119,0.041875,0.021392
BraTS20_Training_283_axial_120,0.040762,0.020813
BraTS20_Training_283_axial_121,0.039649,0.020233
BraTS20_Training_283_axial_122,0.038358,0.019561
BraTS20_Training_283_axial_123,0.037065,0.018890
BraTS20_Training_283_axial_124,0.034799,0.017715
BraTS20_Training_283_axial_125,0.032321,0.016433
BraTS20_Training_283_axial_126,0.029037,0.014740
BraTS20_Training_283_axial_127,0.026039,0.013199
BraTS20_Training_283_axial_128,0.022465,0.011368
BraTS20_Training_283_axial_129,0.018129,0.009155
BraTS20_Training_283_axial_130,0.018579,0.009384
BraTS20_Training_283_axial_131,0.016390,0.008270
BraTS20_Training_283_axial_132,0.010066,0.005066
BraTS20_Training_283_axial_133,0.006403,0.003220
BraTS20_Training_283_axial_134,0.004522,0.002274
BraTS20_Training_283_axial_135,0.001784,0.000900
BraTS20_Training_283_axial_136,0.001022,0.000519
BraTS20_Training_296_axial_032,0.000503,0.000259
